baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YDR528W	159.92613002029	5.82489433433205	0.587802452769901	3.11260052689205e-24	1.29426786448001e-22
gene-YIL104C	297.514602422272	4.55796486649146	0.461975187704337	4.13004096294182e-24	1.69331679480614e-22
gene-YOL077C	1627.02319921088	4.44817809849666	0.450140490636789	4.12223904065827e-24	1.69331679480614e-22
gene-YFR015C	890.253218492051	-4.1425070847659	0.419470187252944	4.25792471245914e-24	1.73362587424639e-22
gene-YNL175C	921.714597641353	4.49296488342291	0.455273057581706	4.4663512137353e-24	1.80594601145725e-22
gene-YDR496C	1260.82587101435	4.33870637625831	0.440382470533614	5.14137709877126e-24	2.06465026918465e-22
gene-YDL014W	4105.14928114371	4.59698907179846	0.467691623107273	6.29933475805326e-24	2.51244895826301e-22
gene-YBR267W	568.55211019131	4.12365285734018	0.419553746950658	6.66380972678553e-24	2.63985921811781e-22
gene-YDR171W	8911.80701539983	-4.02626173869213	0.409521091468316	7.06137429998393e-24	2.77857969938294e-22
gene-YGR090W	655.774264195257	4.00766713668848	0.408082044778404	7.61944130983523e-24	2.9781856266376e-22
gene-YNL015W	3252.538430816	-3.95921020660382	0.403993982628408	8.59611502482539e-24	3.33768360202326e-22
gene-YLR174W	1450.63759167014	-4.35880677087037	0.444326687467004	1.06746171975985e-23	4.11745267299472e-22
gene-YNR016C	3129.52255585434	-3.78339467898502	0.386809459516385	1.08779152789393e-23	4.16844557388371e-22
gene-YCL064C	1445.54411765655	-3.93914077105703	0.402290059815403	1.1502276305821e-23	4.379080907859e-22
gene-YBR187W	835.048085533083	4.95063356400713	0.50686342833671	1.2514108358225e-23	4.73356240672732e-22
gene-YGL157W	239.140173132931	5.30902768260509	0.542971567884333	1.4511884770736e-23	5.45405002633493e-22
gene-YKL024C	914.243994737936	4.18794008873642	0.429414812632757	1.5343124622086e-23	5.72972864071911e-22
gene-YPL240C	10678.7362288849	-4.03660916624309	0.413775049731023	1.73489414073596e-23	6.43777490324994e-22
gene-YNL123W	620.235197142914	4.24776994401446	0.436507327331841	1.79913303253694e-23	6.63416161620383e-22
gene-YGL029W	806.467513235787	5.04255865588654	0.520610661565796	2.15702619840548e-23	7.90415287578207e-22
gene-YLR304C	5998.74579294545	-3.92048705368471	0.404191922736466	2.42614513502611e-23	8.83508628984974e-22
gene-YOL016C	1515.9069331206	-3.98090056022616	0.409731376975229	2.6240067264588e-23	9.49663668964689e-22
gene-YBR155W	459.46753989205	4.10394178649596	0.423406602362972	2.65083839158235e-23	9.53488680358732e-22
gene-YOR047C	205.170182444387	5.06587786587162	0.524026531940847	2.91321725696853e-23	1.04147516936625e-21
gene-YJR070C	2607.59963600413	4.25440580032164	0.439817647359241	3.07108524917216e-23	1.09125895853918e-21
gene-YGR081C	441.979715956341	4.10512238238852	0.424894133379674	3.52716589633903e-23	1.24576949700215e-21
gene-YOL010W	667.175197290681	4.09245268927431	0.424517537080607	4.27685287155671e-23	1.50150828658305e-21
gene-YBR247C	889.995452164636	3.84402309997637	0.399712908311471	6.00201441963686e-23	2.09463157990065e-21
gene-YHR021W-A	166.435268361997	6.03005877214647	0.629969729034546	6.5210352590175e-23	2.26229761678222e-21
gene-YMR229C	1933.48006537403	3.97211944617073	0.413674887123561	6.78237275394786e-23	2.33912067390566e-21
gene-YGR008C	3077.83638197815	-4.58227898753069	0.480538435271051	7.44731638256146e-23	2.55342783338935e-21
gene-YER126C	1729.51786845384	3.70135990735365	0.385832640976902	7.8634710438623e-23	2.68043783314911e-21
gene-YDR324C	839.785956502368	4.05186325646487	0.423047419027604	8.56211699018326e-23	2.90171629557482e-21
gene-YCR057C	1014.37412575889	4.11111084485779	0.429756249985611	9.40145964287667e-23	3.16785964863138e-21
gene-YHR170W	1725.91471020143	3.79788458589982	0.397419697892492	1.09614418721739e-22	3.67239621123173e-21
gene-YDL208W	2018.65379318022	3.68239786422349	0.387131195641928	1.74127184209337e-22	5.80061182397353e-21
gene-YNL194C	2110.97567408588	-4.37041317862645	0.46200720866173	1.77397047610806e-22	5.87615192170709e-21
gene-YNL055C	7646.83911593101	-3.78432974196324	0.398689740008774	2.19874761004269e-22	7.24227934701141e-21
gene-YPL004C	3292.58168726391	-3.90924013568588	0.411681289344147	2.26275630939877e-22	7.41147499553351e-21
gene-YGR157W	2086.13920924925	-3.81318651302454	0.402478138479236	2.33453813639929e-22	7.60410949650503e-21
gene-YDR216W	2164.05820418659	-3.82229878135555	0.405476363408526	3.01460585574463e-22	9.76499123327667e-21
gene-YIL118W	640.142805736978	4.59938808375314	0.487649235124045	3.18805816412961e-22	1.02701016573032e-20
gene-YBR149W	2481.22175355259	-3.80703279501676	0.404436632875719	3.84045397049171e-22	1.23041429666628e-20
gene-YOL155C	2230.76690186859	-3.96723911325844	0.421791110851047	3.93653107706257e-22	1.25434139700097e-20
gene-YIL091C	1009.21734662037	3.85083992784821	0.409070263761888	4.08252973908734e-22	1.29383091136589e-20
gene-YBR214W	1589.94825534596	-4.15948211307896	0.443942790240722	4.41255281698077e-22	1.39090307343862e-20
gene-YML056C	2282.12596700777	5.26092737666833	0.560354361870484	4.72014242769588e-22	1.47990347880112e-20
gene-YDL130W-A	1485.22906399503	-4.18563867589146	0.447695407797504	5.46873259474562e-22	1.704004570133e-20
gene-YOR294W	1316.18574922797	3.74958892427937	0.399463752192148	5.49303878142823e-22	1.704004570133e-20
gene-YIL155C	6257.90009304931	-4.45425308974551	0.476532624292629	5.67848994298075e-22	1.75226244924717e-20
gene-YOR092W	723.683581421593	3.80708552432789	0.40590881984968	5.75010914544786e-22	1.76507277066811e-20
gene-YBR021W	789.479124264787	4.4297039030149	0.473594818198653	6.01192436319725e-22	1.83582877819924e-20
gene-YKL085W	2426.88146247077	-3.79356678761984	0.404617228899505	6.089265447716e-22	1.84981157098233e-20
gene-YPL012W	1254.72681797785	4.18522363225674	0.447463503389338	6.3824065315911e-22	1.9288685306556e-20
gene-YLL008W	1389.41860949872	4.04853240173223	0.432951647961464	6.59386703317894e-22	1.98255602130913e-20
gene-YOR027W	6123.96677820143	-3.6248338879575	0.387265597629042	6.82705128510666e-22	2.042193963499e-20
gene-YKL182W	5421.83459890309	-3.84180242918338	0.411223390808066	7.60185261488312e-22	2.26241938482537e-20
gene-YPL226W	2313.34323215659	4.13829214315212	0.444409177630199	9.55730692399522e-22	2.83002477249414e-20
gene-YLR133W	454.638495149008	-4.25415818446654	0.456906538401004	1.15535718980109e-21	3.40394934864513e-20
gene-YPR190C	559.852965136844	3.78269330229297	0.406910140577213	1.29191220573531e-21	3.78724063111305e-20
gene-YLR411W	698.421407046741	-4.13503198832498	0.445704418222827	1.42180816240517e-21	4.14729415730424e-20
gene-YKR099W	525.087600904786	3.99692609200281	0.431785638317816	1.68314149289314e-21	4.8852765212042e-20
gene-YOR306C	594.481349949629	4.20548999566102	0.455596052047205	2.13077745658506e-21	6.15406316648187e-20
gene-YPL245W	404.391837809642	4.87582400265972	0.527613572877221	2.17433653533033e-21	6.24908583658907e-20
gene-YKL009W	2030.32230730031	3.8858719756622	0.420719537563873	2.19764594188961e-21	6.28526739380429e-20
gene-YGL225W	414.359575027274	4.46278084771356	0.484072736893449	2.62134887625908e-21	7.46066430170241e-20
gene-YLR063W	357.566268691594	4.20977949757577	0.456969702753092	2.6990839400144e-21	7.6447966861374e-20
gene-YDR399W	2786.45041524632	4.33730743644804	0.471283605132622	2.91036405009983e-21	8.20358866621889e-20
gene-YLR223C	1188.76707856623	4.23290549282269	0.462061739695677	3.81587986842726e-21	1.07045472098512e-19
gene-YDR083W	786.187069932482	3.80274045986911	0.414952467828812	4.35338740536047e-21	1.21542430274421e-19
gene-YNL173C	916.644034396328	-4.04230267551953	0.442221801481811	4.45661448141644e-21	1.23834742675567e-19
gene-YPR144C	1019.58866747429	3.97133328979927	0.433661811973357	4.65154146682739e-21	1.28641451037778e-19
gene-YLR014C	302.591611363479	4.05342493683772	0.44354458615617	5.17487071233271e-21	1.42442568011299e-19
gene-YPR006C	810.746842793368	-3.84197581409453	0.420825609054797	5.74884150955042e-21	1.57502139114458e-19
gene-YKL109W	1611.61836634173	-3.60793851128348	0.395482648951687	5.96988556692959e-21	1.62797391064689e-19
gene-YGL009C	5117.0383342955	4.85401040844666	0.53314634939648	6.02257339964863e-21	1.634738326025e-19
gene-YKL106W	341.491949530372	4.34619247892939	0.478122173216816	6.79241744709259e-21	1.83520476923059e-19
gene-YIL162W	11389.0392259767	-3.93926452603244	0.431592515594453	6.96904292196069e-21	1.87428892896585e-19
gene-YIL020C	451.075210903577	3.91096514830161	0.429764333898919	7.98467933717332e-21	2.1376335595364e-19
gene-YKR060W	444.661085988891	3.77098944413446	0.414625307462695	8.60831054081273e-21	2.29411475912659e-19
gene-YMR049C	1343.7751559921	3.90696855828533	0.430760414703146	9.66150922457528e-21	2.56314156487262e-19
gene-YDR508C	3798.93995181067	4.02616554665183	0.44379318104809	1.0283858533026e-20	2.71595777383474e-19
gene-YJL200C	591.370553195954	4.05567736814776	0.447486169711062	1.10708734255457e-20	2.91069645264459e-19
gene-YKL142W	3037.95406138317	-3.50389560302583	0.387021492926682	1.25469028177768e-20	3.28403978663505e-19
gene-YBR053C	868.25969216182	-3.756015659079	0.415636317521142	1.38364423295432e-20	3.60546939458274e-19
gene-YKL099C	599.256366239767	4.00786831868971	0.445091007461737	1.93877164799886e-20	5.02965405850324e-19
gene-YDR398W	1298.98442302733	4.57222702287737	0.50899666874868	2.02681923036079e-20	5.23490799453978e-19
gene-YGR130C	1619.79449324652	-3.75179033616106	0.416570808940774	2.21625503468941e-20	5.65395485025268e-19
gene-YLR196W	1140.60668134588	4.1631748474222	0.463688384871857	2.21759332790414e-20	5.65395485025268e-19
