gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YGR247W,80.4204977227271,-2.86945128585539,0.620378865873898,-4.62532082200017,3.74019016666041e-06,1.41750064299483e-05
YOL076W,162.477617794599,2.09429917078322,0.452901067117083,4.62418687620757,3.76070708062642e-06,1.42435565980056e-05
YNL289W,119.268190917913,3.92193817657072,0.850523686109072,4.61120394484554,4.0034352089322e-06,1.51530927243186e-05
YOR032C,601.232876618874,-2.12406688248094,0.461499193327589,-4.60253650101875,4.17376385774914e-06,1.57875983857956e-05
YMR159C,53.8541505787353,-3.2842840763341,0.713728621088233,-4.60158662451634,4.1928471146752e-06,1.58495568235594e-05
YGL097W,408.069941883346,2.31871548466549,0.504773660383092,4.59357463879103,4.35717075011996e-06,1.64601108942998e-05
YGR112W,119.004163429803,-2.43294641118267,0.529888642589256,-4.59142962433442,4.40220086271913e-06,1.66195129801173e-05
YNCG0014C,29.853383427696,3.89151703858624,0.848578446720486,4.58592491198174,4.51981032672859e-06,1.70525405055404e-05
YFR032C,23.9257120376253,7.3020583172018,1.59307010814308,4.58363902497251,4.5695282179048e-06,1.72290314736822e-05
YJL090C,197.337080425117,2.32029204436512,0.506665188620068,4.57953713118631,4.66006057535958e-06,1.75584052130864e-05
YIL092W,186.295211933393,2.1237815822203,0.463767427496671,4.57941083461612,4.66287513504614e-06,1.75584052130864e-05
YBL058W,1030.86309171051,-1.86434185486142,0.407206023463263,-4.57837494397873,4.68602182130476e-06,1.76342400117521e-05
YFR005C,136.99610472081,2.36459420533404,0.516658042190514,4.57671034270306,4.72344756508336e-06,1.77636774048003e-05
YFL014W,22285.7789713483,-2.31687849561483,0.506551106897585,-4.57382969668104,4.78889143339738e-06,1.79982503038518e-05
YDR424C,203.642623213035,-2.08467801015518,0.456360455713007,-4.56805138144174,4.9227937206496e-06,1.84862514170434e-05
YOR264W,228.373574366034,-2.08527977203992,0.456501757579331,-4.56795562649623,4.92504259140743e-06,1.84862514170434e-05
YHR106W,155.602209253613,-2.35255325505131,0.515199252108636,-4.56629788460028,4.96413211339698e-06,1.86210534746299e-05
YPR028W,898.099280429449,-1.94131555300026,0.425190704199365,-4.56575257602529,4.9770552959727e-06,1.86575928390588e-05
YMR127C,206.185950381025,2.084853210251,0.457322798401561,4.55882194707544,5.14413599105172e-06,1.92716097862851e-05
YOR012W,53.3396630178434,2.82531246914298,0.620040915724788,4.55665488758976,5.19747161671464e-06,1.94589885624508e-05
YKL164C,2876.23875734381,-1.73605216350571,0.3810363125197,-4.55613312029403,5.21039221346974e-06,1.94949135593957e-05
YJL087C,108.918680370622,2.29677445247697,0.504452341973037,4.55300582705934,5.2884807725047e-06,1.97744660517826e-05
YHR160C,165.942894521266,-3.15570644539598,0.693602145199666,-4.54973570545627,5.37133371303349e-06,2.0071465621106e-05
YDL125C,965.05628901561,-2.02319697134322,0.445057955269619,-4.54591800323522,5.46963285895078e-06,2.04257690777251e-05
YBR074W,287.821198799345,1.91734831805262,0.422241748171147,4.54087812575905,5.60204095354429e-06,2.09069166840421e-05
YPR078C,46.2861911709802,2.96623707711995,0.653268372912769,4.54061026082466,5.60916351878995e-06,2.09201817497872e-05
YGR149W,470.540393370224,-2.2683041805361,0.499953844003114,-4.53702718309727,5.70527551383453e-06,2.12651178242923e-05
YDR505C,628.368967879247,-2.34656604932263,0.517831099909631,-4.53152784707629,5.85586160005568e-06,2.18125264047817e-05
YCR011C,327.244230949382,-2.29966007865348,0.507596472943811,-4.5304886878283,5.88474058294821e-06,2.19061803414764e-05
YNCB0010W,417.711018652568,-1.94060234181012,0.428386256903082,-4.530029408131,5.8975476862674e-06,2.19399251805747e-05
YGR195W,443.357619044366,1.8148857368248,0.400808763667412,4.52805901801782,5.952795743133e-06,2.21314149917494e-05
YDL149W,201.1122866335,-2.59001684576306,0.572117782192294,-4.5270692965326,5.98073323827642e-06,2.22211907325822e-05
YJL045W,97.1604664263318,-3.82670660088827,0.846374368509628,-4.5212931100769,6.14630126889136e-06,2.28218900186891e-05
YIL128W,327.677502442343,1.95345185853651,0.432496384316373,4.51668945539103,6.28139187826222e-06,2.33025068723604e-05
YGL011C,1205.90538698218,-1.8503521858914,0.409677026801051,-4.51661202567254,6.28368810595288e-06,2.33025068723604e-05
YBR084W,780.550920756063,2.71203941539309,0.600732056547205,4.51455750668765,6.3449104043053e-06,2.35146711127952e-05
YOR335C,1268.85073465416,1.92153631012956,0.425874660541574,4.51197614736221,6.4226412363654e-06,2.37877104035441e-05
YLR346C,101.641764875958,-3.80327145618404,0.843108686152368,-4.51100969382814,6.45197718600955e-06,2.38812766676603e-05
YDL195W,837.582100278216,-1.84016961617795,0.408782534594869,-4.50158570987305,6.74483554729664e-06,2.49495083998739e-05
YMR181C,737.168483128839,-2.2018361415212,0.489345860606929,-4.49954994774103,6.80974786496478e-06,2.51737400581895e-05
YHR001W,324.824554066497,-1.95959719586798,0.435689408639593,-4.49769298268388,6.86947986501911e-06,2.53785510073138e-05
YOR160W,514.911803128599,1.8455749972865,0.41035616963072,4.49749542926901,6.87586387318705e-06,2.53861397282718e-05
YJL094C,714.313335162827,-2.10755151524294,0.468863461617544,-4.49502187261946,6.95627963747364e-06,2.56668769757759e-05
YKR014C,1187.46196190226,-2.03628168228692,0.453097936152156,-4.49413144447233,6.98544720241279e-06,2.57582873885196e-05
YFR052W,630.587253665287,-1.86744921388272,0.415566416999312,-4.49374429090553,6.9981655633777e-06,2.57889658693171e-05
YDR039C,12.5691570661931,7.82702768090559,1.742504809018,4.49182558372195,7.06152447179326e-06,2.60061042576155e-05
YML031W,216.417551138878,2.02886576568595,0.4523102656097,4.48556205760907,7.27219758413785e-06,2.67651565824232e-05
YKR052C,266.721645521373,-2.59253577640924,0.578361376018006,-4.48255344134275,7.3755164221966e-06,2.71283894500243e-05
YGL113W,93.7241936201141,2.26487049876314,0.505480778488146,4.48062635643078,7.4424303142966e-06,2.7357347293242e-05
YBR151W,584.017827557322,-1.7857183268518,0.398636599108661,-4.47956442244544,7.47955137610983e-06,2.74765725050952e-05
YFL066C,23.5690856039037,-7.27756180976948,1.62548681786476,-4.47715830715213,7.564315897943e-06,2.77705598682779e-05
YDR302W,103.47704118153,2.23418778484326,0.499104749160149,4.47639055449334,7.59155564959424e-06,2.78531231374036e-05
YPR023C,990.435565064423,-1.74793341103795,0.390782154058867,-4.47291001618933,7.71622539271075e-06,2.82928264399394e-05
YNL196C,61.5675785352055,-3.37271610296107,0.75437767847214,-4.47085882736074,7.79061133203141e-06,2.85477213998126e-05
YLR227C,200.764425826243,2.03531913133907,0.45538457224019,4.46945121861869,7.84205411319882e-06,2.87182781172297e-05
YOR110W,162.817019731408,2.03285954831608,0.455343576683385,4.46445201472468,8.0273936075695e-06,2.93786571293258e-05
YBR261C,231.277816198282,2.37669833689089,0.532459178579246,4.46362544304824,8.05843837318695e-06,2.94738765951311e-05
